id,zipcode,road,house_number,grade,condition,price,rehab_cost,closing_cost,total_expected_cost
2414600126,98146,Southwest 102nd Street,136,7,3,229500.0,46280.448200000006,7163.2570700972265,282943.7052700972
7231300125,98056,Blaine Avenue Northeast,659,8,4,345000.0,44097.921599999994,12820.4415786223,401918.3631786223
1189001180,98122,East Spring Street,2717,7,3,425000.0,43160.0092,12227.153179451565,480387.16237945156
3253500160,98144,22nd Avenue South,3214,7,5,317625.0,19387.9956,17192.227648185995,354205.223248186
4036801170,98008,Southeast 7th Street,16213,7,3,380000.0,45759.9086,11855.581349804805,437615.48994980485
1332700270,98056,Kennewick Place Northeast,2904,7,4,215000.0,22538.703299999997,6505.679313603252,244044.38261360326
1777500060,98006,Southeast 42nd Place,15910,8,4,527700.0,39479.2731,17611.868454602958,584791.141554603
1432900240,98058,Southeast 164th Street,12759,7,4,205000.0,22538.703299999997,6888.592629389907,234427.2959293899
7228500560,98122,23rd Avenue,1419,7,3,410000.0,51219.97720000001,13541.80416825234,474761.78136825236
5634500392,98028,Northeast 166th Street,8229,8,4,330000.0,33879.6327,10037.325481982783,373916.9581819828
3530210260,98077,Northeast 199th Place,18328,9,3,274975.0,78780.59000000001,13587.202235765613,367342.79223576566
3179100060,98105,Pullman Avenue Northeast,4815,9,3,880000.0,72799.98180000001,25868.45857703718,978668.4403770372
6414100671,98125,Northeast 128th Street,819,8,3,425000.0,65000.2836,14193.982895240128,504194.26649524015
7504101040,98074,224th Place Northeast,2533,10,3,722500.0,126619.85840000001,20766.47456684071,869886.3329668407
4315700060,98136,Sylvan Lane Southwest,7100,7,3,378000.0,33798.6922,11314.091729596965,423112.78392959695
726049190,98133,Fremont Avenue North,16521,7,4,287500.0,25338.5235,9236.395978358752,322074.91947835876
2021201000,98199,Magnolia Boulevard West,1414,10,3,980000.0,95678.5368,30359.888587818175,1106038.4253878181
9834200885,98144,34th Avenue South,3415,7,5,360000.0,14558.701600000002,10304.317587670475,384863.0191876705
3450300240,98059,Whitman Court Northeast,1059,7,4,302000.0,28278.485399999998,9136.00102852177,339414.48642852175
8062900070,98056,Northeast 11th Street,3506,7,4,272000.0,35698.461,8632.926582792206,316331.3875827922
4039100400,98008,172nd Avenue Northeast,1011,8,4,515000.0,41998.80989999999,17641.655072349815,574640.4649723498
7016310030,98011,119th Avenue Northeast,15714,7,3,330000.0,56680.0458,10232.671989575618,396912.71778957563
1238500451,98033,124th Avenue Northeast,9010,7,4,130000.0,15539.1528,11344.368927290958,156883.52172729096
7234600796,98122,17th Avenue,904,7,4,495000.0,25899.0903,14996.197758739856,535895.2880587399
3342700465,98056,North 36th Street,1402,8,3,250000.0,73838.26239999999,9650.22819505567,333488.4905950557
9473200105,98103,Ashworth Avenue North,8006,7,3,425000.0,54860.9558,14352.485462097096,494213.4412620971
1176001195,98107,Northwest Market Street,3263,7,4,375000.0,17219.346299999997,10787.261903285977,403006.60820328596
8645500160,98058,Lake Youngs Court Southeast,2616,7,3,180500.0,40039.5702,5184.961259008232,225724.53145900826
7129300935,98118,63rd Avenue South,9847,8,4,415000.0,33319.0659,11981.064173818955,460300.13007381896
2249500059,98109,6th Avenue North,909,7,3,550000.0,47058.459,18604.74249191192,615663.2014919119
5561401260,98027,245th Avenue Southeast,14601,8,4,508000.0,46478.823599999996,15861.747796902162,570340.5713969022
1832100030,98040,Southeast 36th Street,8416,10,3,597326.0,92818.36760000001,27826.24386253459,717970.6114625346
7135300046,98118,49th Avenue South,8131,7,3,210000.0,37699.9406,7468.219199754003,255168.159799754
9560700055,98005,Southeast 26th Place,12619,7,4,550000.0,41438.2431,16034.095505925656,607472.3386059257
1887500045,98002,Pike Street Northeast,4,7,4,247500.0,34438.692599999995,7266.999137332076,289205.6917373321
3972900160,98155,18th Avenue Northeast,18902,7,3,190000.0,41080.6494,6790.224184941763,237870.87358494176
5727500102,98155,2nd Avenue Northeast,16729,7,3,195000.0,33280.9512,6312.129978045312,234593.0811780453
9818700320,98122,27th Avenue,191,7,3,491000.0,52129.52220000001,14449.20627059299,557578.728470593
2473381090,98058,128th Place Southeast,16324,7,4,270000.0,33459.2076,8795.374570731121,312254.58217073116
6344000060,98004,Northeast 17th Street,10454,7,4,760000.0,38778.5646,25141.265828612133,823919.8304286122
7461420060,98058,Southeast 198th Street,14610,7,3,265000.0,53299.337,7692.784031296946,325992.12103129696
8712100320,98112,25th Avenue East,2202,8,3,585000.0,61099.0352,17479.209640775247,663578.2448407753
6345000160,98005,Northeast 47th Street,13434,10,3,900000.0,113099.8218,27539.351385995036,1040639.1731859951
3810000465,98178,South 118th Street,8040,7,4,243000.0,24779.4636,7383.697583541895,275163.16118354193
2203500570,98006,Southeast 44 Street,15004,7,4,437000.0,23799.9786,12544.609375321874,473344.58797532186
2126059234,98034,Northeast 140th Street,12732,10,3,650000.0,132857.9378,26507.833229516116,809365.7710295161
6669100070,98005,131st Avenue Northeast,3709,10,3,900000.0,122198.0704,27142.685081081276,1049340.7554810813
3904100106,98118,South Holden Street,4511,7,3,335000.0,60318.2258,12204.999595445624,407523.22539544565
7206900075,98059,Southeast 112th Street,14829,7,4,200000.0,24779.4636,6097.967186190104,230877.4307861901
1370800830,98199,Viewmont Way West,2357,10,3,1220000.0,102960.49399999999,38535.67103334297,1361496.165033343
9407110710,98045,Southeast 169th Street,42636,7,2,195000.0,55867.9128,6148.869649707022,257016.782449707
1781500435,98126,Southwest Donovan Street,3710,7,5,260000.0,11059.1586,9357.129395635724,280416.28799563576
1005000036,98118,46th Avenue South,7403,7,3,285000.0,47839.2684,10762.191561539745,343601.4599615397
3126049094,98103,North 93rd Street,1156,7,3,392450.0,57069.0512,12172.988309474888,461692.0395094749
1232000810,98117,17th Avenue Northwest,7755,7,3,340000.0,36398.5916,10707.183240673136,387105.77484067314
9465200181,98103,Greenwood Avenue North,9002,7,4,475000.0,32478.2157,17011.74050283676,524489.9562028367
