id,road,house_number,neighbourhood,county
7129300520,61st Avenue South,10012,Rainier Beach,King County
6414100192,Northeast 127th Street,837,N/A,King County
5631500400,81st Avenue Northeast,15109,N/A,King County
2487200875,Fauntleroy Way Southwest,9231,Fauntleroy,King County
1954400510,221st Avenue Northeast,901,N/A,King County
7237550310,Northeast Patterson Way,25005,N/A,King County
1321400060,South 330th Place,533,N/A,King County
2008000270,14th Avenue South,21421,Des Moines Creek,King County
2414600126,Southwest 102nd Street,136,N/A,King County
3793500160,232nd Place Southeast,26007,Katesridge,King County
1736800520,146th Avenue Southeast,1017,N/A,King County
9212900260,Northeast 85th Street,3169,Wedgwood,King County
114101516,NE 176th Court,8308,N/A,King County
6054650070,Northeast 3rd Place,22110,N/A,King County
1175000570,Northwest 57th Street,2825,Sunset Hill,King County
9297300055,33rd Avenue Southwest,3400,N/A,King County
1875500060,Northeast 141st Place,28232,N/A,King County
6865200140,North 50th Street,1215,N/A,King County
16000397,Pike Street Northeast,19,N/A,King County
7983200060,21st Avenue South,29826,N/A,King County
6300500875,Interlake Avenue North,10037,Licton Springs,King County
2524049179,79th Avenue Southeast,7814,N/A,King County
7137970340,Southeast 307th Place,12840,N/A,King County
8091400200,Southeast 277th Place,13105,N/A,King County
3814700200,Southeast 254th Court,12715,White Horse Crossing,King County
1202000200,I Street Southeast,316,N/A,King County
1794500383,West Boston Street,206,N/A,King County
3303700376,East Harrison Street,1414,N/A,King County
5101402488,Northeast 91st Street,2302,Wedgwood,King County
1873100390,Northeast 119th Way,17256,N/A,King County
8562750320,Northwest Granite Peak Lane,2190,N/A,King County
2426039314,Greenwood Avenue North,13435,Bitter Lake,King County
461000390,9th Avenue Northwest,7330,Whittier Heights,King County
7589200193,Northwest 83rd Street,1420,Whittier Heights,King County
7955080270,138th Avenue Southeast,19504,Rock Creek,King County
9547205180,17th Avenue Northeast,7349,N/A,King County
9435300030,Northeast 62nd Court,6056,N/A,King County
2768000400,Northwest 58th Street,5601,N/A,King County
7895500070,42nd Avenue South,29832,N/A,King County
2078500320,120th Place Southeast,8113,N/A,King County
5547700270,234th Place Northeast,521,N/A,King County
7766200013,Southwest 174th Street,853,N/A,King County
7203220400,242nd Way Northeast,9704,N/A,King County
9270200160,West Smith Street,507,N/A,King County
1432701230,Southeast 172nd Street,12505,N/A,King County
8035350320,270th Place Northeast,16011,N/A,King County
8945200830,Southwest 330th Street,2902,Twin Lakes,King County
4178300310,Northeast 8th Street,14203,N/A,King County
9215400105,25th Avenue Northeast,7001,Ravenna,King County
822039084,N/A,9129,N/A,King County
5245600105,10th Avenue South,1016,North Hill,King County
7231300125,Blaine Avenue Northeast,659,Highlands Park,King County
7518505990,22nd Avenue Northwest,7040,N/A,King County
3626039271,9th Avenue Northwest,9527,Crown Hill,King County
4217401195,43rd Avenue Northeast,3848,Laurelhurst,King County
9822700295,Northeast 43rd Street,3503,East Campus,King County
9478500640,Southeast 263rd Street,17025,N/A,King County
2799800710,Southeast 263rd Street,16426,Stonefield,King County
7922800400,Southeast 26th Street,16664,Sammamish Heights,King County
8079040320,Ilwaco Avenue Northeast,1520,Summerwind,King County
1516000055,Southwest 189th Place,233,N/A,King County
9558200045,1st Avenue South,N/A,N/A,King County
5072410070,6th Place Southwest,17551,N/A,King County
9528102996,8th Avenue Northeast,806,N/A,King County
1189001180,27th Avenue,2717,N/A,King County
3253500160,22nd Avenue South,3214,N/A,King County
3394100030,111th Avenue Southeast,3224,N/A,King County
3717000160,South 295th Court,6110,N/A,King County
1274500060,Southeast 267th Place,17235,N/A,King County
1802000060,94th Avenue Northeast,2157,N/A,King County
1525059190,Northeast 50th Street,13355,N/A,King County
1049000060,Northeast 149th Place,12206,N/A,King County
8820901275,38th Avenue Northeast,12042,N/A,King County
5416510140,Southeast 269th Street,22840,Rock Creek Meadows,King County
3444100400,201st Avenue Southeast,27710,Winterwood Estates,King County
3276920270,263rd Place Southeast,3022,Tibbetts Station,King County
4036801170,Southeast 7th Street,16213,N/A,King County
2391600320,48th Avenue Southwest,4441,N/A,King County
6300000287,Interlake Avenue North,10717,N/A,King County
1531000030,Black Bear Trail,28844,N/A,King County
5104520400,Maple Ridge Way Southeast,27989,Maple Woods,King County
7437100340,233rd Avenue Southeast,28155,Rosewood Parke,King County
9418400240,32nd Avenue South,6018,NewHolly,King County
1523059105,143rd Avenue Southeast,13604,N/A,King County
1133000671,Northeast 135th Street,1715,Kenwood,King County
4232902595,6th Avenue West,N/A,N/A,King County
2599001200,Fir Street Southeast,2020,N/A,King County
3342103156,Meadow Avenue North,3413,Kennydale,King County
1332700270,Kennewick Place Northeast,2904,Kennydale,King County
3869900162,California Avenue Southwest,7118,Morgan Junction,King County
2791500270,Southwest 349th Place,3002,N/A,King County
5036300431,West Bertona Street,2650,Lawton Park,King County
4168000060,12th Avenue Southwest,31218,N/A,King County
6021501535,Jones Avenue Northwest,8002,Loyal Heights,King County
6021501535,Jones Avenue Northwest,8002,Loyal Heights,King County
1483300570,64th Avenue Southeast,2481,McGilvra,King County
3422049190,South 272nd Street,4419,Cambridge East,King County
1099611230,36th Avenue Southwest,33209,N/A,King County
722079104,290th Avenue Southeast,21315,N/A,King County
7338200240,470th Avenue Southeast,12711,Riverpoint,King County
1952200240,Boyer Avenue East,2505,Montlake,King County
5200100125,12th Avenue Northwest,6549,Whittier Heights,King County
7214720075,194th Avenue Northeast,20036,N/A,King County
2450000295,108th Avenue Southeast,3156,N/A,King County
6197800045,118th Avenue Southeast,18415,N/A,King County
1328310370,Southeast 177th Place,15606,Candlewood,King County
546000875,18th Avenue Northwest,8030,Whittier Heights,King County
3530510041,9th Place South,24519,Zenith,King County
1853000400,Northeast 143rd Place,19108,N/A,King County
3134100116,173rd Court Northeast,17245,N/A,King County
9545230140,Northwest Honeywood Court,970,N/A,King County
3362400511,North 74th Street,721,N/A,King County
2525310310,233rd Court Southeast,26707,Fernwood Estates,King County
6126500060,Chief Sealth Trail,2823,NewHolly,King County
8961960160,R Street Northwest,1119,N/A,King County
3626039325,Northwest 95th Street,9510,Crown Hill,King County
3362400431,North 74th Street,767,N/A,King County
4060000240,69th Place South,11440,N/A,King County
3454800060,Military Road South,11834,N/A,King County
1695900060,30th Avenue South,1733,N/A,King County
7278700070,Northwest 197th Street,2148,N/A,King County
6675500070,Northeast 142nd Street,8621,Simonds Estates,King County
3626039187,Northwest 97th Street,612,Crown Hill,King County
3524049083,Seward Park Avenue South,7958,Dunlap,King County
3275860240,Northeast 99th Way,18322,N/A,King County
4389200955,Northeast 1st Street,102,N/A,King County
4058801670,South Rustic Road,10420,Lakeridge,King County
8732020310,44th Place Southwest,32219,Twin Lakes,King County
2331300505,North 65th Street,512,N/A,King County
7853210060,Southeast Gravenstein Court,7621,Eagle Nest,King County
