id,zipcode,road,house_number,grade,condition,price_to_sell,total_expected_cost,profit
2414600126,98146,Southwest 102nd Street,136,7,3,407222.4055284394,282943.7052700972,124278.7002583422
1189001180,98122,27th Avenue,2717,7,3,643902.5454976936,480387.16237945156,163515.38311824203
3253500160,98144,22nd Avenue South,3214,7,5,846374.6436279047,354205.223248186,492169.4203797187
4036801170,98008,Southeast 7th Street,16213,7,3,629922.7908478479,437615.48994980485,192307.3008980431
1332700270,98056,Kennewick Place Northeast,2904,7,4,341992.4006001549,244044.38261360326,97948.01798655163
1432900240,98058,Southeast 164th Street,12759,7,4,360226.36801856704,234427.2959293899,125799.07208917715
7228500560,98122,23rd Avenue,1419,7,3,718019.2135358258,474761.78136825236,243257.43216757348
3530210260,98077,Northeast 199th Place,18328,9,3,759553.3302745532,367342.79223576566,392210.5380387875
7504101040,98074,224th Place Northeast,2533,10,3,1169765.253278129,869886.3329668407,299878.9203112883
4315700060,98136,Sylvan Lane Southwest,7100,7,3,587050.1188379508,423112.78392959695,163937.3349083538
2021201000,98199,Magnolia Boulevard West,1414,10,3,1582392.6043722942,1106038.4253878181,476354.178984476
9834200885,98144,34th Avenue South,3415,7,5,511479.9350319275,384863.0191876705,126616.91584425699
3450300240,98059,Whitman Court Northeast,1059,7,4,475445.50431056053,339414.48642852175,136031.01788203878
8062900070,98056,Northeast 11th Street,3506,7,4,462089.54346629564,316331.3875827922,145758.15588350344
4039100400,98008,170th Place Northeast,1011,8,4,900077.1128261817,574640.4649723498,325436.6478538319
1238500451,98033,124th Avenue Northeast,9010,7,4,562406.833870998,156883.52172729096,405523.31214370707
9473200105,98103,North 80th Street,8006,7,3,761824.4826712904,494213.4412620971,267611.0414091933
8645500160,98058,Lake Youngs Court Southeast,2616,7,3,304102.30309563014,225724.53145900826,78377.77163662188
5561401260,98027,245th Avenue Southeast,14601,8,4,821719.6430905793,570340.5713969022,251379.0716936771
1832100030,98040,Southeast 36th Street,8416,10,3,1457656.8995492663,717970.6114625346,739686.2880867317
7135300046,98118,49th Avenue South,8131,7,3,409486.5437025716,255168.159799754,154318.3839028176
5727500102,98155,2nd Avenue Northeast,16729,7,3,348121.83400215773,234593.0811780453,113528.75282411242
9818700320,98122,27th Avenue,191,7,3,762528.187456809,557578.728470593,204949.458986216
2473381090,98058,128th Place Southeast,16324,7,4,466626.2285110059,312254.58217073116,154371.64634027472
6344000060,98004,106th Place Northeast,10454,7,4,1252601.0841243875,823919.8304286122,428681.2536957753
7461420060,98058,147th Avenue Southeast,14610,7,3,442464.95910937845,325992.12103129696,116472.83807808149
8712100320,98112,25th Avenue East,2202,8,3,919627.6522273929,663578.2448407753,256049.40738661762
3810000465,98178,South 118th Street,8040,7,4,387003.8805496141,275163.16118354193,111840.71936607215
2126059234,98034,Northeast 140th Street,12732,10,3,1452074.826834101,809365.7710295161,642709.0558045849
3904100106,98118,South Holden Street,4511,7,3,667359.3509259822,407523.22539544565,259836.12553053658
7206900075,98059,Southeast 112th Street,14829,7,4,325778.6235328621,230877.4307861901,94901.19274667202
1370800830,98199,West Viewmont Way West,2357,10,3,1982118.373968713,1361496.165033343,620622.20893537
1005000036,98118,46th Avenue South,7403,7,3,580827.1244542736,343601.4599615397,237225.6644927339
3126049094,98103,North 93rd Street,1156,7,3,661193.3259749947,461692.0395094749,199501.2864655198
9465200181,98103,Greenwood Avenue North,9002,7,4,856480.3320874649,524489.9562028367,331990.37588462816
9407001610,98045,Southeast 169th Street,42506,7,3,491481.38932682265,329887.50805386325,161593.8812729594
3530530110,98198,South 249th Place,1108,8,4,245024.0800842088,169846.6089997684,75177.47108444042
9212900100,98115,30th Avenue Northeast,8016,7,3,769583.2144561645,487060.4144395794,282522.8000165851
2768100690,98107,Northwest Market Street,926,7,4,772466.9498192339,552442.2609442039,220024.6888750299
1193000025,98199,28th Avenue West,3233,7,3,871975.5836118181,561732.5566098482,310243.02700197
5605000590,98112,Montlake Boulevard East,2906,9,4,1469960.3207196577,1046879.8872361127,423080.43348354497
7663700261,98125,35th Avenue Northeast,14315,7,4,617944.8160475097,434592.8089739977,183352.00707351195
9407102460,98045,Southeast 175th Place,42723,7,3,287688.84226805763,212787.3156976292,74901.52657042842
7129304105,98118,54th Avenue South,9320,7,3,564086.0350192109,341232.91807740345,222853.11694180744
1160000115,98125,Northeast 108th Street,1223,8,3,859057.5714753397,494952.45788898214,364105.11358635756
6114400028,98166,Southwest 174th Street,427,8,4,717900.044226293,467462.22331375215,250437.82091254083
9407101380,98045,Southeast 167th Street,42205,7,2,359029.4696090938,248939.00566979096,110090.46393930283
9460000110,98055,Maple Avenue Northwest,369,7,3,498930.890877255,356804.39669442235,142126.49418283266
5072300100,98166,Southwest 177th Street,328,8,4,754987.5395679363,531753.3602239267,223234.1793440096
793200100,98007,153rd Place Southeast,1402,7,4,691564.7890711734,406434.5421464946,285130.2469246788
686400930,98008,169th Avenue Northeast,2410,8,4,975975.7426104516,662863.3637178196,313112.3788926321
1254200015,98117,24th Avenue Northwest,7053,7,3,876969.1542934465,480412.97567216237,396556.1786212841
8146300025,98004,111th Avenue Southeast,243,7,4,1139535.012600386,829879.5168826081,309655.495717778
925059113,98033,123rd Avenue Northeast,7560,7,4,774887.830418739,538456.2009127935,236431.6295059455
7173700524,98115,Ravenna Avenue Northeast,7504,7,3,661389.4992267122,465754.38840776094,195635.11081895122
1105000745,98118,46th Avenue South,6924,7,3,421280.859253287,275506.66625631903,145774.192996968
4037800015,98008,Northeast 2nd Street,16029,7,4,723464.5261883074,530364.0120159545,193100.51417235297
9268200300,98117,7th Avenue Northwest,9237,7,4,732609.1542433869,531321.0728311111,201288.0814122758
475000750,98107,Northwest 52nd Street,306,7,3,758073.9154930025,537054.2018613531,221019.71363164939
1137300690,98072,Northeast 154th Street,15347,9,4,775714.904801093,424484.9079078229,351229.9968932701
2572400100,98122,East Fir Street,1516,7,2,558739.6198619357,371154.97742510063,187584.6424368351
5272200005,98125,Roosevelt Way Northeast,11722,7,3,388656.6106083378,212417.4856567751,176239.1249515627
7972601235,98106,8th Avenue Southwest,8156,7,3,578756.760013471,399194.3202282829,179562.43978518812
7228500094,98122,24th Avenue,1517,7,3,457173.21752741525,324926.96506807575,132246.2524593395
5035300255,98199,West Viewmont Way West,3628,8,3,735329.287140895,519159.2509259588,216170.03621493623
4365700130,98106,22nd Avenue Southwest,8815,7,3,383537.50241174916,259919.49647464673,123618.00593710243
